Timestamp,Emotion,EAR,YawnDistance,DrowsinessAlert,YawnAlert,FaceMissing
2025-12-18 11:20:28,Angry,0.06,0.96,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.06,0.95,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.06,1.06,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.08,0.86,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.07,0.81,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.04,0.82,Yes,Yes,No
2025-12-18 11:20:28,Angry,0.04,0.96,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.06,0.89,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.05,0.87,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.03,0.85,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.01,0.93,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.02,0.85,Yes,Yes,No
2025-12-18 11:20:29,Angry,0.05,0.88,Yes,Yes,No
2025-12-18 11:20:29,Fear,0.06,1.01,Yes,Yes,No
2025-12-18 11:20:29,Fear,0.07,0.93,Yes,Yes,No
2025-12-18 11:20:29,Fear,0.06,1.02,Yes,Yes,No
2025-12-18 11:20:29,Fear,0.07,0.98,Yes,Yes,No
2025-12-18 11:20:29,Surprise,0.06,0.96,Yes,Yes,No
2025-12-18 11:20:30,Surprise,0.06,0.93,Yes,Yes,No
2025-12-18 11:20:30,Surprise,0.07,0.93,Yes,Yes,No
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,Surprise,0.08,0.77,Yes,Yes,No
2025-12-18 11:20:30,Surprise,0.08,0.72,Yes,Yes,No
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:30,Surprise,0.08,0.21,No,No,No
2025-12-18 11:20:30,Surprise,0.05,0.06,No,No,No
2025-12-18 11:20:30,Neutral,0.05,0.00,No,No,No
